"sender" "receiver" "channel" "packetnum" "rssi"
0 2 22 4 -73
0 2 22 5 -73
0 2 22 6 -73
0 2 22 7 -73
0 2 22 8 -73
0 2 22 9 -73
0 2 22 10 -73
0 2 23 1 -68
0 2 23 2 -68
0 2 23 3 -68
0 2 23 4 -68
0 2 23 5 -68
0 2 23 6 -68
0 2 23 7 -68
0 2 23 8 -68
0 2 23 9 -68
0 2 23 10 -68
0 2 24 1 -75
0 2 24 2 -75
0 2 24 3 -75
0 2 24 4 -75
0 2 24 5 -75
0 2 24 6 -75
0 2 24 7 -75
0 2 24 8 -75
0 2 24 9 -75
0 2 24 10 -75
0 2 25 1 -61
0 2 25 2 -61
0 2 25 3 -61
0 2 25 4 -61
0 2 25 5 -61
0 2 25 6 -61
0 2 25 7 -61
0 2 25 8 -61
0 2 25 9 -61
0 2 25 10 -61
0 2 26 1 -67
0 2 26 2 -67
0 2 26 3 -67
0 2 26 4 -67
0 2 26 5 -67
0 2 26 6 -67
0 2 26 7 -67
0 2 26 8 -67
0 2 26 9 -67
0 2 26 10 -67
0 12 11 1 -68
0 12 11 2 -68
0 12 11 3 -68
0 12 11 4 -68
0 12 11 5 -68
0 12 11 6 -68
0 12 11 7 -68
0 12 11 8 -68
0 12 11 9 -68
0 12 11 10 -68
0 12 12 1 -63
0 12 12 2 -63
0 12 12 3 -63
0 12 12 4 -63
0 12 12 5 -63
0 12 12 6 -63
0 12 12 7 -63
0 12 12 8 -63
0 12 12 9 -63
0 12 12 10 -63
0 12 13 1 -70
0 12 13 2 -70
0 12 13 3 -70
0 12 13 4 -70
0 12 13 5 -70
0 12 13 6 -70
0 12 13 7 -70
0 12 13 8 -70
0 12 13 9 -70
0 12 13 10 -70
0 12 14 1 -61
0 12 14 2 -61
0 12 14 3 -61
0 12 14 4 -61
0 12 14 5 -61
0 12 14 6 -61
0 12 14 7 -61
0 12 14 8 -61
0 12 14 9 -61
0 12 14 10 -61
0 12 15 1 -62
0 12 15 2 -62
0 12 15 3 -62
0 12 15 4 -62
0 12 15 5 -62
0 12 15 6 -62
0 12 15 7 -62
0 12 15 8 -62
0 12 15 9 -62
0 12 15 10 -62
0 12 16 1 -81
0 12 16 2 -81
0 12 16 3 -81
0 12 16 4 -81
0 12 16 5 -81
0 12 16 6 -81
0 12 16 7 -81
0 12 16 8 -81
0 12 16 9 -81
0 12 16 10 -81
0 12 17 1 -64
0 12 17 2 -64
0 12 17 3 -64
0 12 17 4 -64
0 12 17 5 -64
0 12 17 6 -64
0 12 17 7 -64
0 12 17 8 -64
0 12 17 9 -64
0 12 17 10 -64
0 12 18 1 -65
0 12 18 2 -65
0 12 18 3 -65
0 12 18 4 -65
0 12 18 5 -65
0 12 18 6 -65
0 12 18 7 -65
0 12 18 8 -65
0 12 18 9 -65
0 12 18 10 -65
0 12 19 1 -82
0 12 19 2 -82
0 12 19 3 -83
0 12 19 4 -83
0 12 19 5 -82
0 12 19 6 -83
0 12 19 7 -83
0 12 19 8 -83
0 12 19 9 -82
0 12 19 10 -82
0 12 20 1 -68
0 12 20 2 -68
0 12 20 3 -68
0 12 20 4 -68
0 12 20 5 -68
