"sender" "receiver" "channel" "packetnum" "rssi"
0 1 25 15 -55
0 1 25 16 -67
0 1 25 17 -57
0 1 25 18 -59
0 1 25 19 -60
0 1 25 20 -52
0 1 25 21 -67
0 1 25 22 -56
0 1 25 23 -59
0 1 25 24 -67
0 1 25 25 -53
0 1 25 26 -60
0 1 25 27 -56
0 1 25 28 -52
0 1 25 29 -56
0 1 25 30 -53
0 1 25 31 -54
0 1 25 32 -64
0 1 25 33 -60
0 1 25 34 -60
0 1 25 35 -61
0 1 25 36 -85
0 1 25 37 -61
0 1 25 38 -57
0 1 25 39 -57
0 1 25 40 -69
0 1 26 1 -58
0 1 26 2 -60
0 1 26 3 -52
0 1 26 4 -63
0 1 26 5 -52
0 1 26 6 -58
0 1 26 7 -53
0 1 26 8 -51
0 1 26 9 -56
0 1 26 10 -51
0 1 26 11 -59
0 1 26 12 -52
0 1 26 13 -60
0 1 26 14 -56
0 1 26 15 -58
0 1 26 16 -60
0 1 26 17 -64
0 1 26 18 -58
0 1 26 19 -57
0 1 26 20 -51
0 1 26 21 -56
0 1 26 22 -53
0 1 26 23 -74
0 1 26 24 -59
0 1 26 25 -71
0 1 26 26 -56
0 1 26 27 -68
0 1 26 28 -61
0 1 26 29 -56
0 1 26 30 -55
0 1 26 31 -60
0 1 26 32 -54
0 1 26 33 -59
0 1 26 34 -63
0 1 26 35 -53
0 1 26 36 -57
0 1 26 37 -54
0 1 26 38 -75
0 1 26 39 -54
0 1 26 40 -67
0 2 11 1 -58
0 2 11 2 -52
0 2 11 3 -51
0 2 11 4 -55
0 2 11 5 -63
0 2 11 6 -50
0 2 11 7 -52
0 2 11 8 -62
0 2 11 9 -50
0 2 11 10 -52
0 2 11 11 -58
0 2 11 12 -50
0 2 11 13 -52
0 2 11 14 -56
0 2 11 15 -55
0 2 11 16 -49
0 2 11 17 -51
0 2 11 18 -55
0 2 11 19 -52
0 2 11 20 -51
0 2 11 21 -58
0 2 11 22 -53
0 2 11 23 -60
0 2 11 24 -51
0 2 11 25 -67
0 2 11 26 -49
0 2 11 27 -50
0 2 11 28 -47
0 2 11 29 -54
0 2 11 30 -53
0 2 11 31 -56
0 2 11 32 -57
0 2 11 33 -51
0 2 11 34 -55
0 2 11 35 -56
0 2 11 36 -48
