"expNo" "verdict" "rank" "JP1" "JP2" "JP3" "JP4" "JP5" "JP6" "JP7" "JP8" "JP9" "JP10"
38 0 2 1 0.691472868217054 0.322485153452106 0.302421585483158 0.262956012011016 0.262956012011016 0.231928753956619 0.178812780433126 0.0894063902165629 0.0894063902165629
39 1 1 1 0.688751926040062 0.338539082290878 0.316851422331619 0.276593767775285 0.276593767775285 0.24395733499944 0.186262315627309 0.0931311578136547 0.0931311578136547
39 0 2 1 0.688751926040062 0.338539082290878 0.316851422331619 0.276593767775285 0.276593767775285 0.24395733499944 0.186262315627309 0.0931311578136547 0.0931311578136547
40 0 1 1 0.694573643410853 0.329663311350226 0.308196863169281 0.267897719099598 0.267897719099598 0.236240676960798 0.181356479283037 0.0908201461198307 0.0908201461198307
40 1 2 1 0.694573643410853 0.329663311350226 0.308196863169281 0.267897719099598 0.267897719099598 0.236240676960798 0.181356479283037 0.090536333163206 0.090536333163206
41 1 1 1 0.68895800933126 0.338119392271803 0.315964923511404 0.275164648103025 0.275164648103025 0.242696843017122 0.188150468626361 0.0940752343131804 0.0940752343131804
41 0 2 1 0.68895800933126 0.338119392271803 0.315964923511404 0.275164648103025 0.275164648103025 0.242696843017122 0.188150468626361 0.0940752343131804 0.0940752343131804
42 1 1 1 0.69242658423493 0.320436828032807 0.300591042610836 0.259114830499845 0.259114830499845 0.228450353517615 0.175731041167396 0.087865520583698 0.087865520583698
42 0 2 1 0.69242658423493 0.320436828032807 0.300591042610836 0.259114830499845 0.259114830499845 0.228450353517615 0.175731041167396 0.087865520583698 0.087865520583698
43 1 1 1 0.689708141321045 0.335420372678928 0.313813538856052 0.273125345293494 0.272698586941473 0.240426564818222 0.184441521867693 0.0922207609338464 0.0922207609338464
43 0 2 1 0.689708141321045 0.335420372678928 0.313813538856052 0.273125345293494 0.272698586941473 0.240426564818222 0.184441521867693 0.0922207609338464 0.0922207609338464
44 1 1 1 0.686335403726708 0.332265248400221 0.311012713011128 0.265464993206244 0.265464993206244 0.234233817534921 0.180409876484343 0.0902049382421717 0.0902049382421717
