"expNo" "verdict" "P1" "P2" "NP1" "NP2" "NPdiff"
58 1 0.0900719892789513 0.0900719892789513 0.5 0.5 0
59 1 0.0917722913474808 0.0917722913474808 0.5 0.5 0
60 1 0.0927709114892866 0.0927709114892866 0.5 0.5 0
61 1 0.090925966866074 0.090925966866074 0.5 0.5 0
62 1 0.089795541225856 0.089795541225856 0.5 0.5 0
63 0 0.0912386206665006 0.090668379287335 0.501567398119122 0.498432601880878 0.00313479623824436
64 0 0.0937419837485841 0.0934481217305635 0.500784929356358 0.499215070643642 0.00156985871271564
65 0 0.0901550869260034 0.089595117441991 0.501557632398754 0.498442367601246 0.00311526479750757
66 1 0.0914427579522303 0.0914427579522303 0.5 0.5 0
67 1 0.0935416691838103 0.0935416691838103 0.5 0.5 0
68 1 0.0918846191807444 0.0918846191807444 0.5 0.5 0
69 0 0.0931169635928004 0.0925349825703454 0.501567398119122 0.498432601880878 0.00313479623824453
70 1 0.0940701742236486 0.0940701742236486 0.5 0.5 0
71 0 0.09190398479127 0.0916167848387973 0.500782472613458 0.499217527386542 0.00156494522691691
72 1 0.0900735920079626 0.0900735920079626 0.5 0.5 0
73 1 0.0917061050332278 0.0917061050332278 0.5 0.5 0
74 1 0.0945374688532736 0.0945374688532736 0.5 0.5 0
75 1 0.0917023290845614 0.0917023290845614 0.5 0.5 0
76 0 0.0918133655970541 0.0909552967596984 0.502347417840376 0.497652582159624 0.00469483568075141
77 1 0.090478604967693 0.090195859327169 0.500782472613458 0.499217527386542 0.00156494522691686
78 1 0.0884586818735221 0.0884586818735221 0.5 0.5 0
79 1 0.0921284867093347 0.0921284867093347 0.5 0.5 0
80 1 0.0926261740226405 0.0926261740226405 0.5 0.5 0
81 1 0.0908144211350583 0.0908144211350583 0.5 0.5 0
82 0 0.0902414268968153 0.0899603009563268 0.500780031201248 0.499219968798752 0.00156006240249601
83 0 0.0944631492864371 0.094167951944917 0.500782472613458 0.499217527386541 0.00156494522691697
84 1 0.0941155245914445 0.0941155245914445 0.5 0.5 0
85 1 0.0953546377049485 0.0953546377049485 0.5 0.5 0
86 1 0.0945457171422285 0.0945457171422285 0.5 0.5 0
87 0 0.0922924086742698 0.0920039948971628 0.500782472613458 0.499217527386542 0.00156494522691658
88 0 0.0925687451978798 0.0922794678691364 0.500782472613459 0.499217527386541 0.00156494522691714
89 1 0.0905301414071106 0.0905301414071106 0.5 0.5 0
90 1 0.09444521276105 0.09444521276105 0.5 0.5 0
91 1 0.0958486046094118 0.0958486046094118 0.5 0.5 0
92 1 0.0927623261517586 0.0927623261517586 0.5 0.5 0
93 0 0.0904893737585168 0.0896463050589033 0.502340093603744 0.497659906396256 0.00468018720748825
94 1 0.0908771201958367 0.0908771201958367 0.5 0.5 0
95 1 0.0939316774234946 0.0939316774234946 0.5 0.5 0
96 0 0.0896443936595215 0.0893642549293355 0.500782472613458 0.499217527386541 0.00156494522691697
97 0 0.0896258036138646 0.0893457229775712 0.500782472613459 0.499217527386541 0.00156494522691747
98 1 0.0937266889076463 0.0934337930048099 0.500782472613458 0.499217527386541 0.00156494522691697
99 1 0.0935021930120866 0.0935021930120866 0.5 0.5 0
100 1 0.0939140365672426 0.0939140365672426 0.5 0.5 0
101 1 0.0962384625378561 0.0962384625378561 0.5 0.5 0
102 0 0.0904422586519817 0.0898805054926526 0.501557632398754 0.498442367601246 0.0031152647975079
103 0 0.0963101658111689 0.096009196543009 0.500782472613459 0.499217527386542 0.00156494522691702
