"expNo" "verdict" "rank" "P1" "P2" "P3" "P4" "P5" "P6" "P7" "P8" "P9" "P10"
58 1 1 1 0.694227769110764 0.483333333333333 0.930124223602484 0.861812778603269 1 0.882179675994109 0.759206798866855 0.5 1
58 0 2 1 0.694227769110764 0.483333333333333 0.930124223602484 0.861812778603269 1 0.882179675994109 0.759206798866855 0.5 1
59 1 1 1 0.68798751950078 0.497667185069984 0.937888198757764 0.855457227138643 1 0.882005899705015 0.757532281205165 0.5 1
59 0 2 1 0.68798751950078 0.497667185069984 0.937888198757764 0.855457227138643 1 0.882005899705015 0.757532281205165 0.5 1
60 1 1 1 0.686915887850467 0.498432601880878 0.9359375 0.864179104477612 1 0.882179675994109 0.759493670886076 0.5 1
60 0 2 1 0.686915887850467 0.498432601880878 0.9359375 0.864179104477612 1 0.882179675994109 0.759493670886076 0.5 1
61 1 1 1 0.691472868217054 0.495356037151703 0.934681181959565 0.856515373352855 1 0.882179675994109 0.751743375174338 0.5 1
61 0 2 1 0.691472868217054 0.495356037151703 0.934681181959565 0.856515373352855 1 0.882179675994109 0.751743375174338 0.5 1
62 1 1 1 0.68944099378882 0.488549618320611 0.934375 0.871064467766117 1 0.882005899705015 0.742738589211618 0.5 1
62 0 2 1 0.68944099378882 0.488549618320611 0.934375 0.871064467766117 1 0.882005899705015 0.742738589211618 0.5 1
63 0 1 1 0.68798751950078 0.496124031007752 0.935240963855422 0.860326894502229 1 0.881481481481482 0.751412429378531 0.501567398119122 1
63 1 2 1 0.68798751950078 0.496124031007752 0.935240963855422 0.860326894502229 1 0.881481481481482 0.751412429378531 0.498432601880878 1
64 0 1 1 0.687402799377916 0.496111975116641 0.93984962406015 0.869955156950673 1 0.881656804733728 0.761442441054092 0.500784929356358 1
64 1 2 1 0.687402799377916 0.496111975116641 0.93984962406015 0.869955156950673 1 0.881656804733728 0.761442441054092 0.499215070643642 1
65 0 1 1 0.683229813664596 0.493808049535604 0.939078751857355 0.847161572052402 1 0.882005899705015 0.759284731774415 0.501557632398754 1
65 1 2 1 0.683229813664596 0.493808049535604 0.939078751857355 0.847161572052402 1 0.882005899705015 0.759284731774415 0.498442367601246 1
66 1 1 1 0.690513219284603 0.495356037151703 0.934883720930233 0.872944693572496 1 0.882179675994109 0.742657342657343 0.5 1
66 0 2 1 0.690513219284603 0.495356037151703 0.934883720930233 0.872944693572496 1 0.882179675994109 0.742657342657343 0.5 1
67 1 1 1 0.693146417445483 0.494590417310665 0.940652818991098 0.875375375375375 1 0.882005899705015 0.751396648044693 0.5 1
67 0 2 1 0.693146417445483 0.494590417310665 0.940652818991098 0.875375375375375 1 0.882005899705015 0.751396648044693 0.5 1
68 1 1 1 0.691472868217054 0.493827160493827 0.932917316692668 0.86410635155096 1 0.882352941176471 0.756606397774687 0.5 1
68 0 2 1 0.691472868217054 0.493827160493827 0.932917316692668 0.86410635155096 1 0.882352941176471 0.756606397774687 0.5 1
69 0 1 1 0.695046439628483 0.48780487804878 0.938066465256798 0.87910447761194 1 0.882005899705015 0.752824858757062 0.501567398119122 1
69 1 2 1 0.695046439628483 0.48780487804878 0.938066465256798 0.87910447761194 1 0.882005899705015 0.752824858757062 0.498432601880878 1
70 1 1 1 0.693146417445483 0.496894409937888 0.934049079754601 0.871833084947839 1 0.881831610044313 0.760683760683761 0.5 1
70 0 2 1 0.693146417445483 0.496894409937888 0.934049079754601 0.871833084947839 1 0.881831610044313 0.760683760683761 0.5 1
71 0 1 1 0.689547581903276 0.497667185069984 0.934984520123839 0.862686567164179 1 0.882005899705015 0.751714677640604 0.500782472613459 1
71 1 2 1 0.689547581903276 0.497667185069984 0.934984520123839 0.862686567164179 1 0.882005899705015 0.751714677640604 0.499217527386541 1
72 1 1 1 0.69242658423493 0.486322188449848 0.934351145038168 0.870286576168929 1 0.882869692532943 0.745179063360882 0.5 1
72 0 2 1 0.69242658423493 0.486322188449848 0.934351145038168 0.870286576168929 1 0.882869692532943 0.745179063360882 0.5 1
73 1 1 1 0.694704049844237 0.497667185069984 0.929797191887676 0.879939209726444 1 0.882179675994109 0.735006973500697 0.5 1
73 0 2 1 0.694704049844237 0.497667185069984 0.929797191887676 0.879939209726444 1 0.882179675994109 0.735006973500697 0.5 1
